TASK 3 - PHASE 3: FULL SYSTEM LOAD DISTRIBUTION LOG
Load per leg dynamically computed during crawl gait
===============================================================================================

   Time | Active |  Phase |  FL_load |  FR_load |  RL_load |  RR_load | MaxLeg |    Total
  1.530 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.540 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.550 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.560 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.570 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.580 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.590 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.600 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.610 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.620 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.630 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.640 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.650 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.660 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.670 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.680 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.690 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.700 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.710 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.720 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.730 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.740 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.750 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.760 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.770 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.780 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.790 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.800 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.810 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.820 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.830 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.840 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.850 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.860 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.870 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.880 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.890 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.900 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.910 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.920 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.930 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.940 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.950 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.960 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.970 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.980 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.990 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  2.000 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.010 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.020 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.030 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.040 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.050 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.060 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.070 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.080 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.090 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.100 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.110 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.120 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.130 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.140 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.150 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.160 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.170 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.180 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.190 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.200 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.210 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.220 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.230 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.240 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.250 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.260 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.270 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.280 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.290 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.300 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.310 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.320 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.330 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.340 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.350 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.360 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.370 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.380 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.390 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.400 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.410 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.420 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.430 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.440 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.450 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.460 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.470 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.480 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.490 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.500 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.510 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.520 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.530 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.540 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.550 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.560 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.570 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.580 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.590 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.600 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.610 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.620 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.630 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.640 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.650 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.660 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.670 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.680 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.690 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.700 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.710 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.720 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.730 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.740 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.750 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.760 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.770 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.780 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.790 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.800 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
  2.810 |     FL | STANCE |   28.088 |   28.088 |   28.120 |   28.088 |     RL |  112.384
