TASK 2 - PHASE 6: FAILURE PROPAGATION LOG
System-level failure simulation across hip + knee
=====================================================================================

SCENARIO: Healthy
   Time |     Hip |    Knee |   FootX |   FootY |   Temp |         HipFail |     KneeFail
  5.040 |   19.25 |   26.46 |  0.7514 |  0.4512 |  25.0C |              OK |           OK
  5.050 |   19.38 |   26.33 |  0.7510 |  0.4522 |  25.0C |              OK |           OK
  5.060 |   19.50 |   26.20 |  0.7507 |  0.4532 |  25.0C |              OK |           OK
  5.070 |   19.62 |   26.08 |  0.7503 |  0.4542 |  25.0C |              OK |           OK
  5.080 |   19.75 |   25.96 |  0.7499 |  0.4553 |  25.0C |              OK |           OK
  5.090 |   19.88 |   25.84 |  0.7495 |  0.4563 |  25.0C |              OK |           OK
  5.100 |   20.00 |   25.72 |  0.7491 |  0.4574 |  25.0C |              OK |           OK
  5.110 |   20.12 |   25.61 |  0.7487 |  0.4585 |  25.0C |              OK |           OK
  5.120 |   20.25 |   25.49 |  0.7482 |  0.4595 |  25.0C |              OK |           OK
  5.130 |   20.38 |   25.38 |  0.7478 |  0.4606 |  25.0C |              OK |           OK
  5.140 |   20.50 |   25.28 |  0.7473 |  0.4617 |  25.0C |              OK |           OK
  5.150 |   20.62 |   25.17 |  0.7468 |  0.4629 |  25.0C |              OK |           OK
  5.160 |   20.75 |   25.07 |  0.7464 |  0.4640 |  25.0C |              OK |           OK
  5.170 |   20.88 |   24.97 |  0.7458 |  0.4651 |  25.0C |              OK |           OK
  5.180 |   21.00 |   24.87 |  0.7453 |  0.4663 |  25.0C |              OK |           OK
  5.190 |   21.12 |   24.77 |  0.7448 |  0.4674 |  25.0C |              OK |           OK
  5.200 |   21.25 |   24.67 |  0.7443 |  0.4686 |  25.0C |              OK |           OK
  5.210 |   21.38 |   24.58 |  0.7437 |  0.4698 |  25.0C |              OK |           OK
  5.220 |   21.50 |   24.49 |  0.7431 |  0.4709 |  25.0C |              OK |           OK
  5.230 |   21.62 |   24.40 |  0.7426 |  0.4721 |  25.0C |              OK |           OK
  5.240 |   21.75 |   24.31 |  0.7420 |  0.4733 |  25.0C |              OK |           OK
  5.250 |   21.88 |   24.22 |  0.7414 |  0.4745 |  25.0C |              OK |           OK
  5.260 |   22.00 |   24.14 |  0.7408 |  0.4757 |  25.0C |              OK |           OK
  5.270 |   22.12 |   24.06 |  0.7401 |  0.4769 |  25.0C |              OK |           OK
  5.280 |   22.25 |   23.98 |  0.7395 |  0.4782 |  25.0C |              OK |           OK
  5.290 |   22.38 |   23.90 |  0.7389 |  0.4794 |  25.0C |              OK |           OK
  5.300 |   22.50 |   23.82 |  0.7382 |  0.4806 |  25.0C |              OK |           OK
  5.310 |   22.62 |   23.74 |  0.7375 |  0.4819 |  25.0C |              OK |           OK
  5.320 |   22.75 |   23.67 |  0.7369 |  0.4831 |  25.0C |              OK |           OK
  5.330 |   22.88 |   23.59 |  0.7362 |  0.4844 |  25.0C |              OK |           OK
  5.340 |   23.00 |   23.52 |  0.7355 |  0.4856 |  25.0C |              OK |           OK
  5.350 |   23.12 |   23.45 |  0.7348 |  0.4869 |  25.0C |              OK |           OK
  5.360 |   23.25 |   23.38 |  0.7341 |  0.4882 |  25.0C |              OK |           OK
  5.370 |   23.38 |   23.31 |  0.7333 |  0.4894 |  25.0C |              OK |           OK
  5.380 |   23.50 |   23.25 |  0.7326 |  0.4907 |  25.0C |              OK |           OK
