TASK 3 - PHASE 6: CONTROL INTERFACE TELEMETRY
Structured output for Rajaryan (Control) + Dhruv (Data)
===============================================================================================

   Time | Active |  Phase |    State | Progress |  FL_hip |  FR_hip |  RL_hip |  RR_hip |   Failures
  1.100 |     FL |  SWING | UNSTABLE |    0.079 |    3.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.110 |     FL |  SWING | UNSTABLE |    0.079 |    3.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.120 |     FL |  SWING | UNSTABLE |    0.080 |    4.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.130 |     FL |  SWING | UNSTABLE |    0.081 |    4.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.140 |     FL |  SWING | UNSTABLE |    0.081 |    4.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.150 |     FL |  SWING | UNSTABLE |    0.082 |    4.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.160 |     FL |  SWING | UNSTABLE |    0.083 |    4.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.170 |     FL |  SWING | UNSTABLE |    0.084 |    4.62 |  -10.00 |  -10.00 |  -10.00 |       none
  1.180 |     FL |  SWING | UNSTABLE |    0.084 |    4.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.190 |     FL |  SWING | UNSTABLE |    0.085 |    4.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.200 |     FL |  SWING | UNSTABLE |    0.086 |    5.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.210 |     FL |  SWING | UNSTABLE |    0.086 |    5.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.220 |     FL |  SWING | UNSTABLE |    0.087 |    5.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.230 |     FL |  SWING | UNSTABLE |    0.088 |    5.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.240 |     FL |  SWING | UNSTABLE |    0.089 |    5.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.250 |     FL |  SWING | UNSTABLE |    0.089 |    5.62 |  -10.00 |  -10.00 |  -10.00 |       none
  1.260 |     FL |  SWING | UNSTABLE |    0.090 |    5.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.270 |     FL |  SWING | UNSTABLE |    0.091 |    5.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.280 |     FL |  SWING | UNSTABLE |    0.091 |    6.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.290 |     FL |  SWING | UNSTABLE |    0.092 |    6.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.300 |     FL |  SWING | UNSTABLE |    0.093 |    6.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.310 |     FL |  SWING | UNSTABLE |    0.094 |    6.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.320 |     FL |  SWING | UNSTABLE |    0.094 |    6.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.330 |     FL |  SWING | UNSTABLE |    0.095 |    6.62 |  -10.00 |  -10.00 |  -10.00 |       none
  1.340 |     FL |  SWING | UNSTABLE |    0.096 |    6.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.350 |     FL |  SWING | UNSTABLE |    0.096 |    6.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.360 |     FL |  SWING | UNSTABLE |    0.097 |    7.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.370 |     FL |  SWING | UNSTABLE |    0.098 |    7.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.380 |     FL |  SWING | UNSTABLE |    0.099 |    7.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.390 |     FL |  SWING | UNSTABLE |    0.099 |    7.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.400 |     FL |  SWING | UNSTABLE |    0.100 |    7.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.410 |     FL |  SWING | UNSTABLE |    0.101 |    7.62 |  -10.00 |  -10.00 |  -10.00 |       none
  1.420 |     FL |  SWING | UNSTABLE |    0.101 |    7.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.430 |     FL |  SWING | UNSTABLE |    0.102 |    7.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.440 |     FL |  SWING | UNSTABLE |    0.103 |    8.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.450 |     FL |  SWING | UNSTABLE |    0.104 |    8.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.460 |     FL |  SWING | UNSTABLE |    0.104 |    8.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.470 |     FL |  SWING | UNSTABLE |    0.105 |    8.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.480 |     FL |  SWING | UNSTABLE |    0.106 |    8.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.490 |     FL |  SWING | UNSTABLE |    0.106 |    8.62 |  -10.00 |  -10.00 |  -10.00 |       none
  1.500 |     FL |  SWING | UNSTABLE |    0.107 |    8.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.510 |     FL |  SWING | UNSTABLE |    0.108 |    8.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.520 |     FL |  SWING | UNSTABLE |    0.109 |    9.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.530 |     FL |  SWING | UNSTABLE |    0.109 |    9.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.540 |     FL |  SWING | UNSTABLE |    0.110 |    9.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.550 |     FL |  SWING | UNSTABLE |    0.111 |    9.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.560 |     FL |  SWING | UNSTABLE |    0.111 |    9.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.570 |     FL |  SWING | UNSTABLE |    0.112 |    9.62 |  -10.00 |  -10.00 |  -10.00 |       none
